search_order,company_name,phone,email,address,legal_representative,registered_capital,established_date,business_scope,search_time,success
1,苏州恒瑞达家用地垫有限公司,0512-88800606,adam_lihua@yahoo.cn; yinliya@hrdmat.com,"存在""古里镇白茆工业园""‌1112和""董浜镇望贤路""两个版本",,,,,2025-07-11 15:14:22,Yes
2,东莞市景宝婴童玩具用品有限公司,0769-86861669,3004847286@qq.com,"存在新旧两个版本：‌26提到的""东莞市茶山镇塘角村水围工业区马鞍二路1号""与‌58登记的""瓦寮路13号之一1号楼101室""",,,,,2025-07-11 15:15:09,Yes
3,宁波联美工艺品有限公司,,,"""地址:浙江省宁波市奉化区萧王庙街道萧奉路398号""",代表、联系方式可,,,,2025-07-11 15:15:56,Yes
4,深圳巴迪星有限公司,13510087023,1114106052@qq.com; 2784622871@qq.com,,邮箱：11141,,,,2025-07-11 15:16:43,Yes
5,东莞大伟成记玩具有限公司,0769-86910999,info@playgochina.cn,"所有高可信度来源‌34一致指向""东莞市黄江镇黄江北三街1号""","""巫育秀""和成立",,,,2025-07-11 15:17:30,Yes
6,宁波纸器时代文化发展股份有限公司,913302006776,,有两个版本：鄞州区下应街道启明路818号3幢21号‌14和江东区宁穿路566号‌45,是王桂强‌12,,,,2025-07-11 15:18:18,Yes
7,浙江楠楠游乐设备有限公司,18358712991,15258008878@163.com,浙江楠楠游乐设备有限公司 提供儿童乐园整体解决方案的服务商,‌：操太山（法定,,,,2025-07-11 15:19:05,Yes
8,温州利幼实业有限公司,0577-66975000,2940139740@qq.com,温州利幼实业有限公司 聯絡資料,的信息会同时引用,,,,2025-07-11 15:19:52,Yes
9,温州星丁诺玩具有限公司,0577-67491209,1355138254@qq.com,发现几个关键信息点：在参考‌1里有个固定电话0577-67491209,叫叶晓斌,,,,2025-07-11 15:20:39,Yes
10,温州凯乐塑胶制造有限公司,0577-67492059,,一个是永嘉县桥下镇埠头村小京路287号‌12,是叶成权这点很明,,,,2025-07-11 15:21:27,Yes
11,浙江乐奇宝游乐设备有限公司,13588922656,cchuishi@126.com,我会优先推荐完整公开的玩具厂电话（毕竟同法人）,叶琴爱‌12,,,,2025-07-11 15:22:14,Yes
12,温州贝德玩具有限公司,0577-67491662,info@bettaplay.com,温州贝德玩具有限公司全国空白区域火爆招商,叶晓朋,,,,2025-07-11 15:23:01,Yes
